accession_id	study_uuid	name	file_reference_uuid	size_in_bytes	size_human_readable
S-BIAD1444	cfd7d1f1-d215-4311-9d92-ac77b18e73f6	WT/WT-028.tif	b3a888d4-d20c-4ea8-bdee-423a6727c957	522428	510.2KiB
S-BIAD1444	cfd7d1f1-d215-4311-9d92-ac77b18e73f6	c8-1_set1/c8-1_set1-018.tif	14c72b7e-e05c-4e68-9d30-605e6a62e02d	515312	503.2KiB
S-BIAD1444	cfd7d1f1-d215-4311-9d92-ac77b18e73f6	c8-1_set1/c8-1_set1-010.tif	c178922c-8525-4922-aa2e-90dfcf84e30a	473364	462.3KiB
S-BIAD1444	cfd7d1f1-d215-4311-9d92-ac77b18e73f6	c8-1_set2/c8-1_set2-026.tif	01f912ae-2919-44c4-bec5-b9c2222a2feb	428224	418.2KiB
S-BIAD1444	cfd7d1f1-d215-4311-9d92-ac77b18e73f6	WT/WT-008.tif	b35cc0d0-6560-4cc8-bff2-c0c7a58693a0	406184	396.7KiB
S-BIAD1266	a1d3488b-a325-4992-911a-2404fb7cd390	Fig.5A-C_N2_miRCon_Sham_n10_t30 min.Project Maximum Z_XYc561.tif	8b307eb1-5b61-4eb5-90c1-454c3bb122ec	524925	512.6KiB
S-BIAD1266	a1d3488b-a325-4992-911a-2404fb7cd390	Fig.7D-F_N2_CsA_Sham_n9_t20 min.Project Maximum Z_XYc640.tif	26dcc756-1ad5-4b60-a6b5-cd289880ad65	524923	512.6KiB
S-BIAD1266	a1d3488b-a325-4992-911a-2404fb7cd390	Fig.5A-C_N2_miRCon_Sham_n8_t10 min.Project Maximum Z_XYc488.tif	15ad9853-4813-430e-903b-8e187a75688e	524923	512.6KiB
S-BIAD1266	a1d3488b-a325-4992-911a-2404fb7cd390	Fig.5A-C_N1_miR153_iLTP_n1_t30 min.Project Maximum Z_XYc488.tif	49fbfaf4-ed84-4d98-a876-799c7efb3cd3	524923	512.6KiB
S-BIAD1266	a1d3488b-a325-4992-911a-2404fb7cd390	Fig.2A-C_N3_miRCon_n40.Project Maximum Z_XYc488.tif	aa51e605-e4ac-43a7-9ace-25c2694e1d42	524917	512.6KiB
S-BIAD1285	55ecc13b-5896-434f-893e-88d992f21648	SR1482_WSIs/SR1482_40X_HE_T333_02.czi	f7d4f019-e738-42f9-8687-991b73e71218	6589973632	6.1GiB
S-BIAD1285	55ecc13b-5896-434f-893e-88d992f21648	SR1482_WSIs/SR1482_40X_HE_T120_02.czi	a57ec624-4dd7-4130-8911-d2777ae27852	5860090976	5.5GiB
S-BIAD1285	55ecc13b-5896-434f-893e-88d992f21648	SR386_WSIs/SR386_40X_HE_T211_01.czi	8e436a59-d7a0-4dce-9319-8b96497854b2	4680591136	4.4GiB
S-BIAD1285	55ecc13b-5896-434f-893e-88d992f21648	SR386_WSIs/SR386_40X_HE_T081_01.czi	ff408246-ce37-4204-9418-7484c61dd534	2315012512	2.2GiB
S-BIAD1285	55ecc13b-5896-434f-893e-88d992f21648	SR1482_WSIs/SR1482_40X_HE_T276_01.czi	9c1b3a3d-7f21-472c-96b8-93d231813564	961088224	916.6MiB
